checkpoint,eval_model,jpeg_quality,image,prompt,psnr_immunized,ssim_imm_orig,ssim_clean_edit,ssim_imm_edit,disrupted
sd15_only,sd15,70,image_165.png,A person in a cocktail bar,37.483,0.9594,0.4613,0.5167,0
sd15_only,sd15,none,image_169.png,A person in a technology fair,90.012,1.0,0.6221,0.6645,0
sd15_only,sd15,none,image_169.png,A person in a food truck park,90.012,1.0,0.6184,0.687,0
sd15_only,sd15,75,image_169.png,A person in a technology fair,38.645,0.9644,0.6221,0.6239,0
sd15_only,sd15,75,image_169.png,A person in a food truck park,38.645,0.9644,0.6184,0.6824,0
sd15_only,sd15,70,image_169.png,A person in a technology fair,38.074,0.96,0.6221,0.5757,0
sd15_only,sd15,70,image_169.png,A person in a food truck park,38.074,0.96,0.6184,0.665,0
sd15_only,sd15,none,image_170.png,A person in a casino lounge,58.789,0.9999,0.4771,0.5202,0
sd15_only,sd15,none,image_170.png,A person in a dance festival,58.789,0.9999,0.5126,0.4979,0
sd15_only,sd15,75,image_170.png,A person in a casino lounge,37.211,0.9664,0.4771,0.4683,0
sd15_only,sd15,75,image_170.png,A person in a dance festival,37.211,0.9664,0.5126,0.481,0
sd15_only,sd15,70,image_170.png,A person in a casino lounge,36.662,0.9624,0.4771,0.4877,0
sd15_only,sd15,70,image_170.png,A person in a dance festival,36.662,0.9624,0.5126,0.4963,0
sd15_only,sd15,none,image_180.png,A person in a rooftop lounge,89.445,1.0,0.4344,0.4315,0
sd15_only,sd15,none,image_180.png,A person in a gym sauna,89.445,1.0,0.4355,0.409,0
sd15_only,sd15,75,image_180.png,A person in a rooftop lounge,35.464,0.9489,0.4344,0.4658,0
sd15_only,sd15,75,image_180.png,A person in a gym sauna,35.464,0.9489,0.4355,0.4503,0
sd15_only,sd15,70,image_180.png,A person in a rooftop lounge,34.882,0.9425,0.4344,0.4762,0
sd15_only,sd15,70,image_180.png,A person in a gym sauna,34.882,0.9425,0.4355,0.4163,0
sd15_only,sd15,none,image_181.png,A person in a butcher shop,91.779,1.0,0.5139,0.5104,0
sd15_only,sd15,none,image_181.png,A person in a highway rest stop,91.779,1.0,0.5514,0.4663,1
sd15_only,sd15,75,image_181.png,A person in a butcher shop,40.192,0.9658,0.5139,0.6245,0
sd15_only,sd15,75,image_181.png,A person in a highway rest stop,40.192,0.9658,0.5514,0.5894,0
sd15_only,sd15,70,image_181.png,A person in a butcher shop,39.617,0.9621,0.5139,0.5349,0
sd15_only,sd15,70,image_181.png,A person in a highway rest stop,39.617,0.9621,0.5514,0.5861,0
sd15_only,sd15,none,image_185.png,A person in a golf course clubhouse,89.413,1.0,0.6154,0.59,0
sd15_only,sd15,none,image_185.png,A person in a rehab facility,89.413,1.0,0.6094,0.6331,0
