image,prompt,condition,psnr_immunized,ssim_immunized,ssim_clean_edit,ssim_imm_edit,disrupted
image_160.png,A person in a sports field,no_overlap,33.798,0.9866,0.1944,0.2418,0
image_160.png,A person in a flower garden,25pct_overlap,30.066,0.9752,0.2216,0.2323,0
image_160.png,A person in a sports field,25pct_overlap,30.066,0.9752,0.1944,0.2128,0
image_160.png,A person in a flower garden,50pct_overlap,30.631,0.9782,0.2216,0.2448,0
image_160.png,A person in a sports field,50pct_overlap,30.631,0.9782,0.1944,0.2146,0
image_160.png,A person in a flower garden,baseline_512,35.15,0.9895,0.2216,0.2498,0
image_160.png,A person in a sports field,baseline_512,35.15,0.9895,0.1944,0.2115,0
image_163.png,A person in a slum,no_overlap,31.535,0.9718,0.2278,0.2235,0
image_163.png,A person in a nightclub,no_overlap,31.535,0.9718,0.2333,0.2058,0
image_163.png,A person in a slum,25pct_overlap,28.842,0.9701,0.2278,0.224,0
image_163.png,A person in a nightclub,25pct_overlap,28.842,0.9701,0.2333,0.2021,0
image_163.png,A person in a slum,50pct_overlap,29.738,0.9735,0.2278,0.2076,0
image_163.png,A person in a nightclub,50pct_overlap,29.738,0.9735,0.2333,0.2147,0
image_163.png,A person in a slum,baseline_512,33.116,0.9824,0.2278,0.2157,0
image_163.png,A person in a nightclub,baseline_512,33.116,0.9824,0.2333,0.244,0
image_165.png,A person in a digital art gallery,no_overlap,28.912,0.9592,0.2475,0.2007,0
image_165.png,A person in a cocktail bar,no_overlap,28.912,0.9592,0.1815,0.173,0
image_165.png,A person in a digital art gallery,25pct_overlap,27.437,0.9487,0.2475,0.2472,0
image_165.png,A person in a cocktail bar,25pct_overlap,27.437,0.9487,0.1815,0.1778,0
image_165.png,A person in a digital art gallery,50pct_overlap,28.058,0.9526,0.2475,0.2103,0
image_165.png,A person in a cocktail bar,50pct_overlap,28.058,0.9526,0.1815,0.1883,0
image_165.png,A person in a digital art gallery,baseline_512,36.207,0.9885,0.2475,0.236,0
image_165.png,A person in a cocktail bar,baseline_512,36.207,0.9885,0.1815,0.2502,0
image_169.png,A person in a technology fair,no_overlap,27.395,0.9347,0.2426,0.1898,1
image_169.png,A person in a food truck park,no_overlap,27.395,0.9347,0.1825,0.1382,0
image_169.png,A person in a technology fair,25pct_overlap,27.137,0.9196,0.2426,0.1146,1
image_169.png,A person in a food truck park,25pct_overlap,27.137,0.9196,0.1825,0.096,1
image_169.png,A person in a technology fair,50pct_overlap,27.104,0.9159,0.2426,0.1105,1
image_169.png,A person in a food truck park,50pct_overlap,27.104,0.9159,0.1825,0.1414,0
image_169.png,A person in a technology fair,baseline_512,24.899,0.8917,0.2426,0.1221,1
image_169.png,A person in a food truck park,baseline_512,24.899,0.8917,0.1825,0.1113,1
image_170.png,A person in a casino lounge,no_overlap,28.869,0.956,0.2643,0.2396,0
image_170.png,A person in a dance festival,no_overlap,28.869,0.956,0.2698,0.2268,0
image_170.png,A person in a casino lounge,25pct_overlap,27.918,0.9567,0.2643,0.2306,0
image_170.png,A person in a dance festival,25pct_overlap,27.918,0.9567,0.2698,0.2384,0
image_170.png,A person in a casino lounge,50pct_overlap,29.145,0.9611,0.2643,0.2538,0
